transaction_id,customer_id,transaction_timestamp,transaction_amount,payment_method,device_type,location,merchant_category,is_international,transaction_frequency_24h,avg_transaction_amount_7d,failed_transaction_count_24h,account_age_days,previous_fraud_flag,unusual_amount_flag,unusual_location_flag,multiple_transactions_short_time,high_risk_device_flag,velocity_flag,fraud_flag,fraud_risk
T0000012,C29922,2025-07-14 19:56:23.679603,4.2,Apple Pay,Mobile,Australia,Fashion,1,14,90.39,1,1905,1,0,1,1,0,1,1,High
T0000013,C08680,2026-02-18 19:56:23.679623,168.96,Google Pay,Tablet,Germany,Travel,0,14,113.61,1,1805,1,0,0,1,0,1,1,Medium
T0000014,C29420,2025-07-06 19:56:23.679642,24.53,Google Pay,Desktop,UK,Travel,1,2,159.52,1,211,0,0,1,0,0,0,0,Low
T0000015,C02979,2026-04-06 19:56:23.679662,270.26,Apple Pay,Mobile,Australia,Gaming,0,14,150.91,3,1026,0,0,0,1,1,1,1,Medium
T0000016,C02082,2025-10-15 19:56:23.679681,389.83,Google Pay,Tablet,India,Electronics,1,5,89.96,1,888,1,1,1,0,0,0,1,High
T0000017,C22292,2026-03-03 19:56:23.679707,211.75,PayPal,Tablet,Canada,Travel,1,10,193.75,3,389,0,0,1,1,0,0,1,Medium
T0000018,C05183,2025-09-10 19:56:23.679743,38.76,Google Pay,Tablet,Australia,Fashion,0,13,164.4,0,1890,1,0,0,1,0,1,0,Medium
T0000019,C16636,2026-03-07 19:56:23.679778,520.1,Debit Card,Tablet,Germany,Groceries,1,8,91.08,2,1532,0,1,1,0,0,0,1,Medium
T0000020,C24986,2026-02-07 19:56:23.679798,147.25,Credit Card,Tablet,Canada,Electronics,0,3,162.23,2,1806,1,0,0,0,0,0,0,Low
T0000021,C11895,2025-11-24 19:56:23.679817,312.93,Apple Pay,Mobile,UK,Electronics,0,10,40.86,0,1873,0,1,0,1,0,0,0,Low
T0000022,C24924,2025-08-01 19:56:23.679849,71.62,Debit Card,Mobile,Australia,Groceries,0,1,31.44,4,108,1,1,0,0,1,0,1,High
T0000023,C17291,2025-06-24 19:56:23.679869,107.37,Apple Pay,Mobile,Germany,Luxury,1,6,179.7,0,1772,0,0,1,0,1,0,0,Low
T0000024,C21296,2025-10-21 19:56:23.679887,15.28,Debit Card,Tablet,India,Fashion,1,14,172.8,4,1251,0,0,1,1,0,1,1,Medium
T0000025,C02099,2025-11-08 19:56:23.679907,32.3,Google Pay,Tablet,Germany,Fashion,0,14,108.88,0,216,0,0,0,1,0,1,0,Low
T0000026,C00236,2026-03-25 19:56:23.679926,66.94,Credit Card,Mobile,USA,Gaming,0,10,99.08,2,1608,0,0,0,1,1,0,0,Low
T0000027,C07799,2025-12-09 19:56:23.679944,271.33,Google Pay,Mobile,Germany,Gaming,1,1,76.58,3,1767,0,1,1,0,1,0,1,High
T0000028,C15489,2025-12-27 19:56:23.679970,18.01,Credit Card,Desktop,UK,Luxury,1,7,93.87,2,550,0,0,1,0,0,0,0,Low
T0000029,C14125,2025-10-31 19:56:23.679990,31.18,Credit Card,Desktop,India,Electronics,1,7,72.16,3,587,0,0,1,0,0,0,0,Medium
T0000030,C13194,2025-11-08 19:56:23.680008,117.49,Debit Card,Mobile,UK,Travel,0,14,134.01,3,1061,0,0,0,1,0,1,0,Medium
T0000031,C06013,2025-12-09 19:56:23.680027,29.58,Google Pay,Mobile,USA,Electronics,1,4,180.66,2,1673,1,0,1,0,1,0,1,Medium
T0000032,C01658,2025-06-01 19:56:23.680046,197.68,Apple Pay,Mobile,UK,Fashion,0,12,84.13,0,1418,0,1,0,1,0,1,0,Medium
T0000033,C28333,2025-10-07 19:56:23.680065,31.04,PayPal,Mobile,India,Travel,0,14,20.09,4,1778,0,0,0,1,1,1,1,Medium
T0000034,C09348,2025-09-26 19:56:23.680084,43.62,Credit Card,Mobile,UK,Gaming,1,6,111.93,0,327,1,0,1,0,0,0,0,Medium
T0000035,C24109,2025-07-27 19:56:23.680104,30.14,Credit Card,Tablet,Canada,Gaming,0,3,68.49,2,1407,0,0,0,0,0,0,0,Low
T0000036,C15624,2025-08-16 19:56:23.680122,29.63,Credit Card,Mobile,Germany,Gaming,0,8,146.54,0,1863,0,0,0,0,1,0,0,Low
T0000037,C02227,2025-05-20 19:56:23.680140,428.14,Google Pay,Desktop,USA,Gaming,0,4,64.44,1,1420,0,1,0,0,0,0,0,Low
T0000038,C01303,2025-06-17 19:56:23.680158,42.95,PayPal,Desktop,Australia,Fashion,0,1,199.59,2,122,1,0,0,0,0,0,0,Low
T0000039,C21946,2025-11-21 19:56:23.680177,450.68,PayPal,Desktop,India,Travel,0,12,29.27,4,1769,0,1,0,1,0,1,1,Medium
T0000040,C10361,2026-03-24 19:56:23.680195,286.66,Credit Card,Desktop,Germany,Gaming,0,3,142.53,4,1717,0,1,0,0,0,0,0,Medium
T0000041,C06985,2025-08-14 19:56:23.680214,71.26,PayPal,Mobile,Canada,Groceries,1,6,63.57,3,1472,0,0,1,0,1,0,1,Medium
T0000042,C05170,2025-09-18 19:56:23.680233,172.07,Google Pay,Tablet,Australia,Groceries,1,11,63.59,4,893,0,1,1,1,0,1,1,High
T0000043,C21738,2026-03-08 19:56:23.680252,491.97,Google Pay,Desktop,USA,Fashion,0,6,116.44,0,1234,0,1,0,0,0,0,0,Low
T0000044,C08925,2025-12-07 19:56:23.680270,46.42,PayPal,Tablet,Canada,Gaming,0,6,145.25,2,669,0,0,0,0,0,0,0,Low
T0000045,C16009,2025-12-23 19:56:23.680288,47.34,Credit Card,Mobile,Australia,Electronics,0,4,22.99,2,1544,1,1,0,0,1,0,1,Medium
T0000046,C10930,2026-02-23 19:56:23.680306,30.82,Apple Pay,Mobile,Australia,Gaming,1,7,51.39,0,1969,1,0,1,0,0,0,0,Medium
T0000047,C00317,2026-03-04 19:56:23.680325,58.68,PayPal,Tablet,UK,Gaming,0,2,170.79,2,1986,0,0,0,0,0,0,0,Low
T0000048,C18106,2026-02-14 19:56:23.680343,14.45,Credit Card,Mobile,USA,Groceries,1,7,117.46,1,1644,1,0,1,0,0,0,1,Medium
T0000049,C06884,2025-05-16 19:56:23.680362,31.14,Google Pay,Tablet,USA,Travel,0,10,196.79,3,1605,1,0,0,1,0,0,1,Medium
T0000050,C20338,2026-02-10 19:56:23.680381,36.27,PayPal,Mobile,UK,Travel,0,1,36.76,3,462,1,0,0,0,0,0,0,Medium
T0000051,C26288,2025-05-23 19:56:23.680400,276.81,Apple Pay,Desktop,UK,Electronics,0,11,53.97,0,1132,0,1,0,1,0,1,0,Medium
T0000052,C28135,2025-09-02 19:56:23.680418,144.62,Debit Card,Mobile,India,Fashion,0,3,174.14,0,1953,1,0,0,0,0,0,0,Low
T0000053,C00776,2025-05-28 19:56:23.680436,228.4,Credit Card,Desktop,Canada,Groceries,0,1,49.09,3,263,1,1,0,0,0,0,1,Medium
T0000054,C11507,2025-06-06 19:56:23.680456,1.11,Credit Card,Tablet,Germany,Electronics,1,14,189.22,0,1894,1,0,1,1,0,1,1,Medium
T0000055,C28739,2025-12-18 19:56:23.680475,40.08,Credit Card,Tablet,Canada,Gaming,0,14,118.77,2,1753,0,0,0,1,0,1,0,Low
T0000056,C14240,2025-11-05 19:56:23.680493,623.44,Apple Pay,Desktop,Germany,Gaming,1,4,148.19,0,407,0,1,1,0,0,0,0,Medium
T0000057,C06229,2025-12-21 19:56:23.680511,47.24,Google Pay,Tablet,India,Gaming,0,4,85.96,2,410,0,0,0,0,0,0,0,Low
T0000058,C22507,2025-05-22 19:56:23.680541,44.19,PayPal,Desktop,India,Gaming,0,12,111.59,4,572,0,0,0,1,0,1,0,Medium
T0000059,C10287,2025-05-26 19:56:23.680570,267.13,Apple Pay,Tablet,Canada,Groceries,0,11,98.19,4,807,1,1,0,1,0,1,1,High
T0000060,C13186,2025-05-09 19:56:23.680589,124.31,Apple Pay,Tablet,UK,Luxury,1,1,55.14,4,825,0,1,1,0,0,0,1,Medium
T0000061,C12424,2025-05-19 19:56:23.680608,39.55,Apple Pay,Tablet,Germany,Gaming,0,3,158.34,0,1205,1,0,0,0,0,0,0,Low
T0000062,C27320,2026-04-30 19:56:23.680626,338.53,Google Pay,Desktop,UK,Gaming,1,13,70.32,2,1925,1,1,1,1,0,1,1,High
T0000063,C21454,2025-11-17 19:56:23.680644,1.87,Google Pay,Desktop,India,Travel,1,8,79.54,4,616,0,0,1,0,0,0,0,Medium
T0000064,C26010,2026-02-03 19:56:23.680662,397.65,Credit Card,Desktop,Germany,Fashion,0,1,33.56,4,990,1,1,0,0,0,0,1,Medium
T0000065,C22047,2025-11-23 19:56:23.680682,25.42,Apple Pay,Mobile,UK,Gaming,0,1,77.05,1,1826,0,0,0,0,0,0,0,Low
T0000066,C27845,2026-03-24 19:56:23.680702,60.24,Apple Pay,Desktop,Australia,Travel,1,6,145.29,1,1321,0,0,1,0,0,0,0,Low
T0000067,C13096,2025-12-27 19:56:23.680721,133.46,Credit Card,Tablet,Australia,Travel,0,7,45.22,2,499,0,1,0,0,0,0,0,Low
T0000068,C07171,2026-01-30 19:56:23.680739,251.83,Credit Card,Mobile,Germany,Travel,1,1,172.76,0,1844,0,0,1,0,1,0,0,Low
T0000069,C04370,2025-09-05 19:56:23.680759,148.1,Google Pay,Desktop,Germany,Travel,1,7,72.85,1,1900,1,1,1,0,0,0,1,High
T0000070,C29400,2026-02-08 19:56:23.680786,35.52,PayPal,Desktop,Canada,Gaming,1,8,184.38,1,912,0,0,1,0,0,0,0,Low
T0000071,C15880,2025-06-14 19:56:23.680824,83.54,PayPal,Desktop,India,Fashion,0,13,54.97,3,1916,0,0,0,1,0,1,0,Medium
T0000072,C08904,2025-11-10 19:56:23.680845,49.5,Debit Card,Tablet,USA,Fashion,1,12,124.2,2,1698,0,0,1,1,0,1,1,Medium
T0000073,C12552,2025-05-10 19:56:23.680863,20.22,Apple Pay,Tablet,UK,Travel,0,14,71.58,1,579,0,0,0,1,0,1,0,Low
T0000074,C10843,2025-07-27 19:56:23.680881,3.72,Apple Pay,Desktop,USA,Travel,1,4,26.99,2,453,0,0,1,0,0,0,0,Low
T0000075,C29650,2025-07-05 19:56:23.680917,47.46,Credit Card,Tablet,India,Groceries,0,8,158.6,3,1653,1,0,0,0,0,0,0,Medium
T0000076,C09785,2025-10-13 19:56:23.680937,117.03,Apple Pay,Tablet,Australia,Fashion,1,4,171.56,3,1383,0,0,1,0,0,0,0,Medium
T0000077,C08944,2025-09-19 19:56:23.680956,93.35,Apple Pay,Mobile,India,Luxury,1,7,44.9,4,379,1,1,1,0,0,0,1,High
T0000078,C05409,2025-09-03 19:56:23.680975,87.15,Apple Pay,Tablet,Germany,Gaming,0,14,27.39,2,1637,0,1,0,1,0,1,1,Medium
T0000079,C18494,2025-05-26 19:56:23.680997,163.53,Apple Pay,Mobile,Australia,Fashion,0,10,24.56,4,1863,1,1,0,1,0,0,1,High
T0000080,C01648,2025-12-18 19:56:23.681016,216.93,PayPal,Desktop,UK,Groceries,1,9,143.93,0,1091,1,0,1,1,0,0,1,Medium
T0000081,C24944,2025-10-18 19:56:23.681035,296.11,Apple Pay,Desktop,Canada,Electronics,1,2,63.16,0,497,0,1,1,0,0,0,0,Medium
T0000082,C24545,2025-07-28 19:56:23.681053,327.29,Credit Card,Desktop,UK,Electronics,0,1,191.88,4,799,0,0,0,0,0,0,0,Low
T0000083,C08103,2026-01-18 19:56:23.681072,157.14,Debit Card,Tablet,UK,Travel,0,3,64.59,2,1006,0,1,0,0,0,0,0,Low
T0000084,C21937,2026-03-03 19:56:23.681090,15.36,PayPal,Desktop,Australia,Fashion,0,13,40.89,4,1080,1,0,0,1,0,1,1,Medium
T0000085,C19854,2025-06-24 19:56:23.681108,4.99,PayPal,Mobile,Canada,Gaming,0,14,196.31,4,1237,0,0,0,1,0,1,0,Medium
T0000086,C22196,2025-10-20 19:56:23.681128,2.08,Google Pay,Tablet,UK,Luxury,1,10,108.49,3,1322,0,0,1,1,0,0,1,Medium
T0000087,C27217,2025-06-13 19:56:23.681146,74.99,Google Pay,Mobile,Australia,Electronics,0,5,91.73,1,1791,1,0,0,0,1,0,0,Medium
T0000088,C26091,2025-07-15 19:56:23.681164,120.97,PayPal,Desktop,Germany,Electronics,0,2,66.96,1,771,1,0,0,0,0,0,0,Low
T0000089,C16580,2025-06-03 19:56:23.681182,325.15,PayPal,Mobile,India,Luxury,1,1,117.09,4,525,1,1,1,0,0,0,1,High
T0000090,C29216,2025-09-07 19:56:23.681200,114.81,Google Pay,Desktop,UK,Gaming,0,7,189.97,3,905,1,0,0,0,0,0,0,Medium
T0000091,C25384,2025-08-26 19:56:23.681219,121.41,PayPal,Desktop,Australia,Fashion,1,4,123.59,1,1708,1,0,1,0,0,0,1,Medium
T0000092,C27222,2026-03-17 19:56:23.681238,123.7,Google Pay,Desktop,UK,Gaming,1,1,166.02,2,1646,1,0,1,0,0,0,1,Medium
T0000093,C21896,2025-10-18 19:56:23.681256,118.0,Debit Card,Mobile,India,Groceries,1,1,193.01,1,1076,1,0,1,0,0,0,1,Medium
T0000094,C26144,2025-12-19 19:56:23.681277,26.15,Google Pay,Desktop,Germany,Electronics,1,13,58.63,1,1286,1,0,1,1,0,1,1,High
T0000095,C16929,2026-01-23 19:56:23.681296,11.9,Debit Card,Mobile,Australia,Luxury,0,3,80.58,1,785,1,0,0,0,0,0,0,Low
T0000096,C15601,2025-06-04 19:56:23.681315,58.41,PayPal,Desktop,USA,Fashion,1,10,24.19,1,124,0,1,1,1,0,0,1,Medium
T0000097,C13252,2025-05-11 19:56:23.681335,39.73,Apple Pay,Desktop,Australia,Gaming,0,4,144.72,1,1526,1,0,0,0,0,0,0,Low
T0000098,C17398,2025-11-05 19:56:23.681353,331.09,PayPal,Tablet,Germany,Luxury,1,8,152.31,4,1030,1,1,1,0,0,0,1,High
T0000099,C14869,2025-12-13 19:56:23.681371,39.76,Debit Card,Desktop,UK,Groceries,1,10,96.22,2,1722,0,0,1,1,0,0,0,Medium
T0000100,C03918,2025-07-30 19:56:23.681391,157.85,Google Pay,Mobile,UK,Gaming,0,4,86.96,4,1813,1,0,0,0,0,0,0,Medium
T0000101,C19556,2025-12-07 19:56:23.681411,67.24,PayPal,Mobile,Canada,Electronics,0,13,153.18,2,882,0,0,0,1,0,1,0,Low
T0000102,C23201,2025-07-31 19:56:23.681430,56.93,Google Pay,Desktop,USA,Groceries,0,1,110.95,0,1375,0,0,0,0,0,0,0,Low
T0000103,C22853,2026-02-25 19:56:23.681450,42.4,Apple Pay,Mobile,USA,Groceries,1,3,90.06,3,454,1,0,1,0,0,0,1,Medium
T0000104,C06042,2026-04-04 19:56:23.681469,282.95,Apple Pay,Desktop,USA,Travel,1,12,83.88,3,727,0,1,1,1,0,1,1,High
T0000105,C02428,2025-07-09 19:56:23.681488,135.53,Debit Card,Mobile,UK,Electronics,0,4,123.22,4,1102,1,0,0,0,0,0,0,Medium
T0000106,C18287,2025-09-29 19:56:23.681506,41.64,Apple Pay,Tablet,India,Groceries,0,9,119.67,4,1517,1,0,0,1,0,0,1,Medium
T0000107,C28186,2025-07-03 19:56:23.681525,350.69,Google Pay,Desktop,Germany,Luxury,1,9,40.42,4,1075,0,1,1,1,0,0,1,High
T0000108,C03252,2026-01-14 19:56:23.681543,439.11,Debit Card,Desktop,Australia,Fashion,0,14,118.92,4,1196,0,1,0,1,0,1,1,Medium
T0000109,C05696,2025-07-22 19:56:23.681561,262.39,Google Pay,Mobile,USA,Travel,0,11,147.05,3,1042,1,0,0,1,0,1,1,Medium
T0000110,C09544,2026-04-14 19:56:23.681580,172.01,Apple Pay,Desktop,Australia,Electronics,0,12,176.04,4,1201,1,0,0,1,0,1,1,Medium
T0000111,C22525,2026-01-01 19:56:23.681600,9.07,Apple Pay,Tablet,Germany,Electronics,1,2,180.54,1,1550,0,0,1,0,0,0,0,Low
T0000112,C17845,2026-01-05 19:56:23.681636,86.42,Credit Card,Desktop,UK,Fashion,0,6,197.6,4,1866,0,0,0,0,0,0,0,Low
T0000113,C25973,2025-11-24 19:56:23.681656,254.79,PayPal,Desktop,USA,Luxury,1,1,190.5,0,1334,1,0,1,0,0,0,0,Medium
T0000114,C13190,2025-12-12 19:56:23.681679,167.99,Apple Pay,Desktop,USA,Luxury,1,6,147.47,2,454,0,0,1,0,0,0,0,Low
T0000115,C10562,2025-06-25 19:56:23.681699,56.98,Google Pay,Mobile,USA,Gaming,1,7,96.36,1,1564,0,0,1,0,1,0,0,Medium
T0000116,C00680,2025-05-21 19:56:23.681717,14.15,Apple Pay,Tablet,USA,Gaming,1,3,65.66,1,1253,0,0,1,0,0,0,0,Low
T0000117,C21349,2025-09-16 19:56:23.681736,101.69,Apple Pay,Mobile,Germany,Electronics,1,4,41.39,4,904,1,1,1,0,0,0,1,High
T0000118,C15402,2025-11-03 19:56:23.681754,125.71,Debit Card,Desktop,Canada,Groceries,1,1,142.59,3,199,0,0,1,0,0,0,0,Medium
T0000119,C13489,2025-05-10 19:56:23.681780,61.34,Google Pay,Desktop,Australia,Electronics,1,12,71.43,0,943,1,0,1,1,0,1,1,Medium
T0000120,C14904,2026-03-16 19:56:23.681800,68.8,Apple Pay,Desktop,Canada,Gaming,1,10,22.19,4,1862,0,1,1,1,0,0,1,High
T0000121,C27032,2026-04-30 19:56:23.681825,46.75,Google Pay,Desktop,USA,Groceries,1,6,186.44,3,1262,0,0,1,0,0,0,0,Medium
T0000122,C20403,2025-08-18 19:56:23.681857,35.0,PayPal,Mobile,UK,Travel,1,3,194.47,1,56,1,0,1,0,0,0,1,Medium
T0000123,C28864,2025-05-08 19:56:23.681896,119.12,PayPal,Mobile,USA,Gaming,1,14,73.01,0,1406,0,0,1,1,1,1,1,Medium
T0000124,C00449,2025-07-22 19:56:23.681915,143.25,Credit Card,Mobile,UK,Luxury,1,3,182.21,0,980,0,0,1,0,0,0,0,Low
T0000125,C27268,2026-02-11 19:56:23.681934,39.58,Apple Pay,Tablet,Canada,Travel,1,8,91.01,3,382,1,0,1,0,0,0,1,Medium
T0000126,C15474,2025-12-27 19:56:23.681957,38.98,Debit Card,Tablet,UK,Gaming,1,12,136.43,1,1349,1,0,1,1,0,1,1,High
T0000127,C16655,2026-02-20 19:56:23.681991,105.15,Google Pay,Desktop,India,Groceries,0,12,84.86,3,1737,1,0,0,1,0,1,1,Medium
T0000128,C26888,2026-04-29 19:56:23.682010,72.45,Debit Card,Tablet,Canada,Travel,1,1,70.36,4,1757,1,0,1,0,0,0,1,Medium
T0000129,C17649,2025-08-26 19:56:23.682030,110.79,Apple Pay,Desktop,Germany,Groceries,1,13,43.97,2,1286,1,1,1,1,0,1,1,High
T0000130,C28496,2026-01-24 19:56:23.682052,338.68,Apple Pay,Tablet,India,Electronics,0,3,150.63,0,459,0,1,0,0,0,0,0,Low
T0000131,C10427,2025-08-31 19:56:23.682072,10.36,Apple Pay,Desktop,Australia,Electronics,1,14,175.89,4,1038,0,0,1,1,0,1,1,Medium
T0000132,C04137,2025-08-16 19:56:23.682091,3.21,Apple Pay,Mobile,India,Electronics,1,1,159.97,1,233,0,0,1,0,0,0,0,Low
T0000133,C23674,2026-02-16 19:56:23.682110,506.28,Apple Pay,Tablet,UK,Groceries,1,11,126.94,0,1887,0,1,1,1,0,1,1,Medium
T0000134,C11094,2025-06-15 19:56:23.682128,212.05,Google Pay,Tablet,USA,Travel,1,1,170.9,1,114,1,0,1,0,0,0,1,Medium
T0000135,C10377,2025-06-14 19:56:23.682146,64.3,Debit Card,Tablet,USA,Luxury,1,1,22.46,3,718,0,1,1,0,0,0,1,Medium
T0000136,C22427,2025-12-04 19:56:23.682164,980.69,Credit Card,Tablet,USA,Luxury,0,6,184.37,4,1598,1,1,0,0,0,0,1,Medium
T0000137,C23066,2026-03-10 19:56:23.682182,347.54,Credit Card,Mobile,Australia,Groceries,1,10,88.01,4,1111,1,1,1,1,1,0,1,High
T0000138,C26089,2026-04-02 19:56:23.682200,27.54,Debit Card,Desktop,Canada,Fashion,1,1,191.73,4,1805,1,0,1,0,0,0,1,Medium
T0000139,C17406,2025-10-02 19:56:23.682217,31.15,Apple Pay,Mobile,UK,Gaming,0,1,156.26,1,1381,0,0,0,0,0,0,0,Low
T0000140,C22385,2025-12-28 19:56:23.682237,37.55,Apple Pay,Tablet,UK,Luxury,1,7,140.88,1,447,0,0,1,0,0,0,0,Low
T0000141,C08323,2025-09-07 19:56:23.682256,177.58,PayPal,Tablet,USA,Luxury,1,11,75.4,0,1087,1,1,1,1,0,1,1,High
T0000142,C17911,2026-02-09 19:56:23.682274,412.94,Apple Pay,Desktop,Canada,Luxury,0,14,177.8,0,410,1,1,0,1,0,1,1,Medium
T0000143,C08196,2025-09-09 19:56:23.682292,17.27,Apple Pay,Mobile,India,Gaming,1,7,155.92,4,1943,1,0,1,0,0,0,1,Medium
T0000144,C11763,2025-07-10 19:56:23.682310,146.12,Apple Pay,Tablet,Canada,Groceries,1,3,182.57,3,747,0,0,1,0,0,0,0,Medium
T0000145,C00266,2025-07-15 19:56:23.682328,51.8,PayPal,Tablet,Australia,Fashion,0,2,134.6,2,444,1,0,0,0,0,0,0,Low
T0000146,C19893,2025-11-01 19:56:23.682346,281.41,Debit Card,Tablet,UK,Luxury,0,4,118.54,0,993,1,1,0,0,0,0,0,Medium
T0000147,C03184,2025-06-13 19:56:23.682363,289.58,Google Pay,Desktop,India,Groceries,0,14,131.98,2,90,0,1,0,1,0,1,1,Medium
T0000148,C23998,2026-02-22 19:56:23.682381,358.34,Debit Card,Desktop,Canada,Fashion,0,4,102.68,0,1363,1,1,0,0,0,0,0,Medium
T0000149,C04331,2025-07-28 19:56:23.682401,175.8,Debit Card,Tablet,Germany,Groceries,1,4,102.64,1,1807,1,0,1,0,0,0,1,Medium
T0000150,C29952,2025-08-27 19:56:23.682421,81.42,Apple Pay,Tablet,Canada,Electronics,1,13,57.64,2,1785,0,0,1,1,0,1,1,Medium
T0000151,C04613,2026-01-05 19:56:23.682440,50.15,Apple Pay,Tablet,Canada,Electronics,1,9,102.82,2,1407,0,0,1,1,0,0,0,Medium
T0000152,C08666,2025-07-30 19:56:23.682459,143.55,Google Pay,Desktop,Canada,Travel,0,4,52.74,0,1228,1,1,0,0,0,0,0,Medium
T0000153,C26949,2025-06-08 19:56:23.682476,248.88,Google Pay,Mobile,Australia,Gaming,1,11,140.16,1,70,0,0,1,1,0,1,1,Medium
T0000154,C10749,2025-06-22 19:56:23.682528,25.63,PayPal,Tablet,USA,Luxury,0,3,167.92,1,613,1,0,0,0,0,0,0,Low
T0000155,C13380,2026-03-02 19:56:23.682556,51.26,Credit Card,Mobile,USA,Electronics,0,6,35.97,0,654,1,0,0,0,1,0,0,Low
T0000156,C07694,2025-07-29 19:56:23.682575,74.12,Google Pay,Desktop,India,Travel,0,10,180.96,0,1111,1,0,0,1,0,0,0,Low
T0000157,C19246,2026-02-10 19:56:23.682594,48.08,Google Pay,Tablet,USA,Travel,1,11,27.08,0,56,1,0,1,1,0,1,1,Medium
T0000158,C09167,2026-04-14 19:56:23.682616,118.63,PayPal,Mobile,India,Electronics,1,8,177.24,4,346,1,0,1,0,1,0,1,High
T0000159,C22469,2025-10-24 19:56:23.682637,38.9,Credit Card,Mobile,India,Travel,1,1,35.21,2,1286,1,0,1,0,0,0,1,Medium
T0000160,C03004,2025-05-26 19:56:23.682657,514.47,Credit Card,Tablet,Australia,Groceries,0,8,107.21,1,37,0,1,0,0,0,0,0,Low
T0000161,C07982,2026-02-25 19:56:23.682683,55.24,Debit Card,Mobile,Germany,Groceries,0,8,149.69,1,535,0,0,0,0,0,0,0,Low
T0000162,C25375,2026-02-14 19:56:23.682713,19.18,Google Pay,Desktop,UK,Groceries,0,3,148.4,2,1784,0,0,0,0,0,0,0,Low
T0000163,C26166,2026-01-31 19:56:23.682732,3.71,Credit Card,Tablet,USA,Groceries,0,2,100.53,2,1916,0,0,0,0,0,0,0,Low
T0000164,C25887,2025-12-30 19:56:23.682751,33.32,Apple Pay,Mobile,UK,Gaming,1,9,152.73,3,723,1,0,1,1,0,0,1,High
T0000165,C03725,2026-03-29 19:56:23.682770,99.6,Apple Pay,Desktop,Canada,Gaming,1,1,58.06,1,135,0,0,1,0,0,0,0,Low
T0000166,C07260,2025-06-20 19:56:23.682789,15.31,Apple Pay,Tablet,Australia,Luxury,0,1,81.73,0,1613,1,0,0,0,0,0,0,Low
T0000167,C01021,2026-03-30 19:56:23.682808,52.64,Apple Pay,Desktop,India,Luxury,1,9,109.72,3,120,0,0,1,1,0,0,1,Medium
T0000168,C29810,2025-09-15 19:56:23.682826,160.19,PayPal,Mobile,Canada,Gaming,0,8,125.58,3,604,0,0,0,0,0,0,0,Low
T0000169,C20745,2025-07-05 19:56:23.682844,57.13,Apple Pay,Desktop,Germany,Gaming,1,5,85.35,1,1353,1,0,1,0,0,0,1,Medium
T0000170,C19839,2025-09-22 19:56:23.682862,101.49,Apple Pay,Tablet,USA,Travel,0,8,109.68,4,1410,0,0,0,0,0,0,0,Low
T0000171,C29101,2026-01-04 19:56:23.682881,32.5,Apple Pay,Desktop,India,Luxury,1,6,60.56,3,1383,1,0,1,0,0,0,1,Medium
T0000172,C03116,2025-11-21 19:56:23.682907,24.78,PayPal,Desktop,Australia,Fashion,1,14,165.06,0,768,1,0,1,1,0,1,1,Medium
T0000173,C22506,2025-08-31 19:56:23.682927,6.36,PayPal,Mobile,USA,Fashion,0,8,145.45,1,477,0,0,0,0,0,0,0,Low
T0000174,C18232,2026-03-31 19:56:23.682969,418.69,PayPal,Tablet,USA,Luxury,1,4,20.95,0,1639,1,1,1,0,0,0,1,Medium
